Assoc#0: 15777
Assoc#1: 0
Assoc#2: 21
Assoc#3: 44
Assoc#4: 62
Assoc#5: 5
Assoc#6: 53
Assoc#7: 0
Assoc#8: 0
Assoc#9: 0
Assoc#10: 0
Assoc#11: 0
Assoc#12: 110
Assoc#13: 0
Assoc#14: 4
Assoc#15: 0
Assoc#16: 2
Assoc#17: 83
Assoc#18: 2
Assoc#19: 0
Assoc#20: 0
Assoc#21: 12
Assoc#22: 1
Assoc#23: 0
Assoc#24: 0
Assoc#25: 30
Assoc#26: 0
Assoc#27: 0
Assoc#28: 0
Assoc#29: 0
Assoc#30: 24
Assoc#31: 5
Assoc#32: 0
Assoc#33: 0
Assoc#34: 925
Assoc#35: 0
Assoc#36: 0
Assoc#37: 0
Assoc#38: 326
Assoc#39: 0
Assoc#40: 15
Assoc#41: 0
Assoc#42: 0
Assoc#43: 0
Assoc#44: 0
Assoc#45: 0
Assoc#46: 0
Assoc#47: 0
Assoc#48: 0
Assoc#49: 4
Assoc#50: 8
Assoc#51: 0
Assoc#52: 0
Assoc#53: 1
Assoc#54: 26
Assoc#55: 52
Assoc#56: 0
Assoc#57: 77
Assoc#58: 40
Assoc#59: 0
Assoc#60: 0
Assoc#61: 0
Assoc#62: 0
Assoc#63: 34
Assoc#64: 0
Assoc#65: 74
Assoc#66: 46
Assoc#67: 29
Assoc#68: 0
Assoc#69: 0
Assoc#70: 0
Assoc#71: 0
Assoc#72: 0
Assoc#73: 1
Assoc#74: 0
Assoc#75: 159
Assoc#76: 0
Assoc#77: 55
Assoc#78: 20
Assoc#79: 0
Assoc#80: 16
Assoc#81: 0
Assoc#82: 0
Assoc#83: 0
Assoc#84: 123
Assoc#85: 0
Assoc#86: 0
Assoc#87: 0
Assoc#88: 0
Assoc#89: 0
Assoc#90: 0
Assoc#91: 16
Assoc#92: 4
Assoc#93: 0
Assoc#94: 2
Assoc#95: 9
Assoc#96: 37
Assoc#97: 0
Assoc#98: 3
Assoc#99: 1
Assoc#100: 1
Assoc#101: 0
Assoc#102: 105
Assoc#103: 0
Assoc#104: 18
Assoc#105: 0
Assoc#106: 0
Assoc#107: 0
Assoc#108: 0
Assoc#109: 0
Assoc#110: 0
Assoc#111: 0
Assoc#112: 0
Assoc#113: 270
Assoc#114: 77
Assoc#115: 0
Assoc#116: 0
Assoc#117: 0
Assoc#118: 0
Assoc#119: 9
Assoc#120: 0
Assoc#121: 83
Assoc#122: 0
Assoc#123: 0
Assoc#124: 102
Assoc#125: 30
Assoc#126: 0
Assoc#127: 0
Assoc#128: 0
Assoc#129: 0
Assoc#130: 0
Assoc#131: 26
Assoc#132: 0
Assoc#133: 7
Assoc#134: 0
