Assoc#0: 8622
Assoc#1: 945
Assoc#2: 1560
Assoc#3: 212
Assoc#4: 77
Assoc#5: 23
Assoc#6: 20055
Assoc#7: 37
Assoc#8: 4222
Assoc#9: 118
Assoc#10: 20
Assoc#11: 234
Assoc#12: 144
Assoc#13: 39
Assoc#14: 231
Assoc#15: 56
Assoc#16: 5502
Assoc#17: 1321
Assoc#18: 74
Assoc#19: 275
Assoc#20: 30
Assoc#21: 36
Assoc#22: 3315
Assoc#23: 8
Assoc#24: 1537
Assoc#25: 43
Assoc#26: 9
Assoc#27: 33
Assoc#28: 99
Assoc#29: 3
Assoc#30: 36
Assoc#31: 6
Assoc#32: 24
Assoc#33: 3718
Assoc#34: 71
Assoc#35: 10
Assoc#36: 9369
Assoc#37: 55
Assoc#38: 39
Assoc#39: 49
Assoc#40: 14
Assoc#41: 25
Assoc#42: 415
Assoc#43: 7
Assoc#44: 91
Assoc#45: 41
Assoc#46: 2
Assoc#47: 17
Assoc#48: 28
Assoc#49: 1
Assoc#50: 3
Assoc#51: 8
Assoc#52: 3
Assoc#53: 5
Assoc#54: 27
Assoc#55: 8
Assoc#56: 143
Assoc#57: 107
Assoc#58: 17
Assoc#59: 25
Assoc#60: 76
Assoc#61: 9
Assoc#62: 10
Assoc#63: 3
Assoc#64: 12
Assoc#65: 51
Assoc#66: 6
Assoc#67: 147
Assoc#68: 7
Assoc#69: 4
Assoc#70: 1
Assoc#71: 146
Assoc#72: 143
Assoc#73: 16
Assoc#74: 46
Assoc#75: 19
Assoc#76: 11
Assoc#77: 248
Assoc#78: 25
Assoc#79: 287
Assoc#80: 37
Assoc#81: 27
Assoc#82: 4
Assoc#83: 2
Assoc#84: 9
Assoc#85: 8
Assoc#86: 2
Assoc#87: 17
Assoc#88: 42
Assoc#89: 4
Assoc#90: 1
Assoc#91: 54
Assoc#92: 68
Assoc#93: 19
Assoc#94: 37
Assoc#95: 16
Assoc#96: 6
Assoc#97: 16
Assoc#98: 16
Assoc#99: 2
Assoc#100: 4
Assoc#101: 209
Assoc#102: 54
Assoc#103: 21
Assoc#104: 4
Assoc#105: 1
Assoc#106: 3
Assoc#107: 4
Assoc#108: 1
Assoc#109: 5
Assoc#110: 4
Assoc#111: 1
Assoc#112: 3
Assoc#113: 2
Assoc#114: 27
Assoc#115: 17
Assoc#116: 1
Assoc#117: 3
Assoc#118: 7
Assoc#119: 6
Assoc#120: 1
Assoc#121: 9
Assoc#122: 6
Assoc#123: 3
Assoc#124: 11
Assoc#125: 8
Assoc#126: 6
Assoc#127: 2
Assoc#128: 8
Assoc#129: 13
Assoc#130: 3
Assoc#131: 43
Assoc#132: 6
Assoc#133: 8
Assoc#134: 3
Assoc#135: 3
Assoc#136: 8
Assoc#137: 8
Assoc#138: 34
Assoc#139: 1
Assoc#140: 27
Assoc#141: 4
Assoc#142: 13
Assoc#143: 2
Assoc#144: 18
Assoc#145: 2
Assoc#146: 4
Assoc#147: 17
Assoc#148: 10
Assoc#149: 23
Assoc#150: 31
Assoc#151: 1
Assoc#152: 7
Assoc#153: 2
Assoc#154: 36
Assoc#155: 3
Assoc#156: 18
Assoc#157: 44
Assoc#158: 68
Assoc#159: 1
Assoc#160: 52
Assoc#161: 6
Assoc#162: 2
Assoc#163: 1
Assoc#164: 13
Assoc#165: 2
Assoc#166: 1
Assoc#167: 1
Assoc#168: 2
Assoc#169: 12
Assoc#170: 144
Assoc#171: 24
Assoc#172: 2
Assoc#173: 3
Assoc#174: 3
Assoc#175: 2
Assoc#176: 61
Assoc#177: 1
Assoc#178: 48
Assoc#179: 15
Assoc#180: 13
Assoc#181: 5
Assoc#182: 4
Assoc#183: 23
Assoc#184: 2
Assoc#185: 12
Assoc#186: 3
Assoc#187: 2
Assoc#188: 3
Assoc#189: 5
Assoc#190: 353
Assoc#191: 4
Assoc#192: 3
Assoc#193: 8
Assoc#194: 5
Assoc#195: 4
Assoc#196: 4
Assoc#197: 1
Assoc#198: 13
Assoc#199: 1
Assoc#200: 13
Assoc#201: 85
Assoc#202: 21
Assoc#203: 3
Assoc#204: 6
Assoc#205: 5
Assoc#206: 256
Assoc#207: 1
Assoc#208: 123
Assoc#209: 1
Assoc#210: 12
Assoc#211: 34
Assoc#212: 2
Assoc#213: 2
Assoc#214: 4
Assoc#215: 5
Assoc#216: 14
Assoc#217: 9
Assoc#218: 15
Assoc#219: 5
Assoc#220: 7
Assoc#221: 6
Assoc#222: 6
Assoc#223: 10
Assoc#224: 4
Assoc#225: 1
Assoc#226: 4
Assoc#227: 2
Assoc#228: 1
Assoc#229: 1
Assoc#230: 3
Assoc#231: 24
Assoc#232: 18
Assoc#233: 2
Assoc#234: 232
Assoc#235: 4
Assoc#236: 1
Assoc#237: 1
Assoc#238: 2
Assoc#239: 8
Assoc#240: 2
Assoc#241: 3
Assoc#242: 1
Assoc#243: 7
Assoc#244: 2
Assoc#245: 2
Assoc#246: 2
Assoc#247: 11
Assoc#248: 2
Assoc#249: 5
Assoc#250: 1
Assoc#251: 10
Assoc#252: 9
Assoc#253: 3
