Assoc#0: 1155905
Assoc#1: 20175
Assoc#2: 12449
Assoc#3: 3381
Assoc#4: 8831
Assoc#5: 907
Assoc#6: 303517
Assoc#7: 325
Assoc#8: 87994
Assoc#9: 5476
Assoc#10: 1295
Assoc#11: 14771
Assoc#12: 2390
Assoc#13: 124
Assoc#14: 5293
Assoc#15: 182
Assoc#16: 80817
Assoc#17: 15885
Assoc#18: 2762
Assoc#19: 5159
Assoc#20: 138
Assoc#21: 440
Assoc#22: 65410
Assoc#23: 144
Assoc#24: 18410
Assoc#25: 568
Assoc#26: 88
Assoc#27: 252
Assoc#28: 2410
Assoc#29: 31
Assoc#30: 1627
Assoc#31: 41
Assoc#32: 375
Assoc#33: 64831
Assoc#34: 1134
Assoc#35: 827
Assoc#36: 163015
Assoc#37: 649
Assoc#38: 304
Assoc#39: 342
Assoc#40: 64
Assoc#41: 1599
Assoc#42: 28143
Assoc#43: 26
Assoc#44: 543
Assoc#45: 283
Assoc#46: 3
Assoc#47: 79
Assoc#48: 530
Assoc#49: 1
Assoc#50: 28
Assoc#51: 44
Assoc#52: 4
Assoc#53: 9
Assoc#54: 155
Assoc#55: 353
Assoc#56: 9769
Assoc#57: 1017
Assoc#58: 314
Assoc#59: 106
Assoc#60: 5815
Assoc#61: 25
Assoc#62: 32
Assoc#63: 3
Assoc#64: 936
Assoc#65: 415
Assoc#66: 126
Assoc#67: 990
Assoc#68: 993
Assoc#69: 44
Assoc#70: 1
Assoc#71: 2589
Assoc#72: 7495
Assoc#73: 228
Assoc#74: 338
Assoc#75: 768
Assoc#76: 31
Assoc#77: 5311
Assoc#78: 93
Assoc#79: 1616
Assoc#80: 95
Assoc#81: 1289
Assoc#82: 335
Assoc#83: 18
Assoc#84: 201
Assoc#85: 50
Assoc#86: 6
Assoc#87: 3034
Assoc#88: 1968
Assoc#89: 27
Assoc#90: 1
Assoc#91: 3363
Assoc#92: 533
Assoc#93: 399
Assoc#94: 243
Assoc#95: 67
Assoc#96: 15
Assoc#97: 479
Assoc#98: 1782
Assoc#99: 40
Assoc#100: 4
Assoc#101: 2820
Assoc#102: 3640
Assoc#103: 229
Assoc#104: 24
Assoc#105: 3
Assoc#106: 3
Assoc#107: 27
Assoc#108: 17
Assoc#109: 155
Assoc#110: 52
Assoc#111: 18
Assoc#112: 131
Assoc#113: 5
Assoc#114: 673
Assoc#115: 71
Assoc#116: 3
Assoc#117: 8
Assoc#118: 74
Assoc#119: 22
Assoc#120: 25
Assoc#121: 38
Assoc#122: 21
Assoc#123: 19
Assoc#124: 60
Assoc#125: 27
Assoc#126: 14
Assoc#127: 98
Assoc#128: 28
Assoc#129: 159
Assoc#130: 8
Assoc#131: 1955
Assoc#132: 14
Assoc#133: 334
Assoc#134: 101
Assoc#135: 57
Assoc#136: 109
Assoc#137: 99
Assoc#138: 575
Assoc#139: 9
Assoc#140: 714
Assoc#141: 134
Assoc#142: 61
Assoc#143: 93
Assoc#144: 165
Assoc#145: 1
Assoc#146: 10
Assoc#147: 119
Assoc#148: 47
Assoc#149: 410
Assoc#150: 284
Assoc#151: 10
Assoc#152: 30
Assoc#153: 2
Assoc#154: 178
Assoc#155: 7
Assoc#156: 93
Assoc#157: 206
Assoc#158: 1398
Assoc#159: 9
Assoc#160: 1351
Assoc#161: 102
Assoc#162: 14
Assoc#163: 3
Assoc#164: 79
Assoc#165: 13
Assoc#166: 17
Assoc#167: 8
Assoc#168: 21
Assoc#169: 119
Assoc#170: 1421
Assoc#171: 240
Assoc#172: 7
Assoc#173: 7
Assoc#174: 226
Assoc#175: 2
Assoc#176: 1599
Assoc#177: 36
Assoc#178: 937
Assoc#179: 60
Assoc#180: 84
Assoc#181: 9
Assoc#182: 14
Assoc#183: 3731
Assoc#184: 10
Assoc#185: 56
Assoc#186: 19
Assoc#187: 8
Assoc#188: 7
Assoc#189: 86
Assoc#190: 17809
Assoc#191: 19
Assoc#192: 33
Assoc#193: 94
Assoc#194: 101
Assoc#195: 8
Assoc#196: 13
Assoc#197: 1
Assoc#198: 3006
Assoc#199: 32
Assoc#200: 109
Assoc#201: 594
Assoc#202: 1187
Assoc#203: 13
Assoc#204: 56
Assoc#205: 73
Assoc#206: 256
Assoc#207: 17
Assoc#208: 1740
Assoc#209: 1
Assoc#210: 2392
Assoc#211: 147
Assoc#212: 18
Assoc#213: 10
Assoc#214: 10
Assoc#215: 11
Assoc#216: 57
Assoc#217: 34
Assoc#218: 81
Assoc#219: 26
Assoc#220: 16
Assoc#221: 17
Assoc#222: 65
Assoc#223: 36
Assoc#224: 8
Assoc#225: 4
Assoc#226: 19
Assoc#227: 2
Assoc#228: 1
Assoc#229: 1
Assoc#230: 43
Assoc#231: 238
Assoc#232: 171
Assoc#233: 8
Assoc#234: 3857
Assoc#235: 13
Assoc#236: 3
Assoc#237: 4
Assoc#238: 9
Assoc#239: 31
Assoc#240: 11
Assoc#241: 16
Assoc#242: 25
Assoc#243: 33
Assoc#244: 14
Assoc#245: 11
Assoc#246: 28
Assoc#247: 107
Assoc#248: 8
Assoc#249: 17
Assoc#250: 1
Assoc#251: 318
Assoc#252: 57
Assoc#253: 17
