ExtensionMechanismsHelperEUMLImpl(EUMLModelImplementation): 8
addBaseClass(Object, Object): 0
addCopyStereotype(Object, Object): 0
addExtendedElement(Object, Object): 0
addTaggedValue(Object, Object): 0
getAllPossibleStereotypes(Collection, Object): 0
getMetaModelName(Object): 2
getMetaModelName(Class): 7
getStereotype(Object, Object): 0
getStereotype(Collection, Object): 0
getStereotypes(Object): 0
getStereotypes(Collection): 0
hasStereotype(Object, String): 0
isStereotype(Object, String, String): 0
isStereotypeInh(Object, String, String): 0
isValidStereotype(Object, Object): 0
removeBaseClass(Object, Object): 0
removeTaggedValue(Object, Object): 0
setIcon(Object, Object): 0
setTaggedValue(Object, Collection): 0
setTagType(Object, String): 0
setType(Object, Object): 0
setValueOfTag(Object, String): 0
setDataValues(Object, String[]): 0
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndType: 140
ActionSetAssociationEndType: 66
ActionSetAssociationEndType(): 12
actionPerformed(ActionEvent): 54
getInstance(): 5
org.argouml.model.XmiExtensionWriter: 15
XmiExtensionWriter: 0
write(Writer): 0
org.argouml.uml.ui.UMLDocument: 42
UMLDocument: 3
org.argouml.uml.reveng.Setting: 60
Setting: 41
Setting(String): 0
Setting(String, String): 0
getLabel(): 0
getDescription(): 0
BooleanSelection: 10
BooleanSelection(String, boolean): 1
isSelected(): 0
getDefaultValue(): 0
setSelected(boolean): 1
UniqueSelection: 16
UniqueSelection(String, List<String>, int): 2
isOption(int): 0
getDefaultSelection(): 0
getOptions(): 0
setSelection(int): 2
getSelection(): 0
PathSelection: 10
PathSelection(String, String, String): 0
getDefaultPath(): 0
getPath(): 0
setPath(String): 0
PathListSelection: 10
PathListSelection(String, String, List<String>): 0
getDefaultPathList(): 0
getPathList(): 0
setPathList(List<String>): 0
org.argouml.uml.diagram.ui.FigGeneralization: 240
FigGeneralization: 161
FigGeneralization(): 17
initialize(): 52
FigGeneralization(Object, Layer): 10
FigGeneralization(Object, DiagramSettings): 19
canEdit(Fig): 0
modelChanged(PropertyChangeEvent): 7
updateListeners(Object, Object): 4
addListener(Object): 2
updateDiscriminatorText(): 26
paint(Graphics): 12
setOwner(Object): 4
fixup(Object): 28
org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionOwner: 170
ActionSetTagDefinitionOwner: 72
ActionSetTagDefinitionOwner(): 16
actionPerformed(ActionEvent): 50
org.argouml.notation.providers.uml.AbstractMessageNotationUml: 1212
AbstractMessageNotationUml: 1032
MsgPtr: 0
AbstractMessageNotationUml(Object): 2
toString(Object, boolean): 104
getInitiatorOfAction(Object): 64
initParameterSeparators(): 21
parse(Object, String): 18
getParsingHelp(): 0
generateMessageNumber(Object, Object, int): 18
findMsgOrderBreak(String): 0
generateMessageNumber(Object): 13
countSuccessors(Object): 24
generateRecurrence(Object): 8
parseMessage(Object, String): 141
parseArguments(String, boolean): 14
handlePredecessors(Object, List<List>, boolean): 55
handleOperation(Object, String, boolean): 58
handleSequenceNumber(Object, List<Integer>, boolean): 102
handleArguments(Object, List<String>, boolean): 98
handleFunctionName(Object, String, StringBuilder, boolean): 42
fillBlankVariableName(Object, StringBuilder, boolean): 24
fillBlankFunctionName(Object, String, boolean): 24
handleGuard(Object, StringBuilder, boolean, boolean): 26
buildAction(Object): 48
getExpressionLanguage(): 0
walkTree(Object, List): 14
walk(Object, int, boolean): 24
findCandidateRoots(Collection, Object, Object): 24
successor(Object, int): 8
isMsgNumberStartOf(String, String): 0
compareMsgNumbers(String, String): 4
parseMsgOrder(String): 0
findMsg(Object, String): 12
hasMsgWithActivator(Object, Object): 16
isBadPreMsg(Object, Object): 10
isPredecessorMsg(Object, Object, int): 8
filterWithActivator(Collection, Object): 8
insertSuccessor(Object, Object, int): 16
getOperation(Collection, String, int): 53
countParameters(Object): 16
recCountPredecessors(Object, MsgPtr): 32
printDebugInfo(String, String, StringBuilder, String, StringBuilder, List<List>, List<Integer>, boolean, boolean): 8
org.argouml.uml.ui.foundation.core.PropPanelUsage: 101
PropPanelUsage: 50
PropPanelUsage(): 47
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous: 120
ActionSetActionAsynchronous: 46
ActionSetActionAsynchronous(): 12
actionPerformed(ActionEvent): 34
getInstance(): 5
org.argouml.ui.cmd.ActionAdjustSnap: 147
ActionAdjustSnap: 47
ActionAdjustSnap(int, String): 0
actionPerformed(ActionEvent): 23
setGroup(ButtonGroup): 0
init(): 13
createAdjustSnapActions(): 36
org.argouml.ui.NavigatorPane: 273
NavigatorPane: 81
NavigatorPane(SplashScreen): 81
getMinimumSize(): 0
org.argouml.language.ui.LanguageComboBox: 180
LanguageComboBox: 51
LanguageComboBox(): 9
finalize(): 5
refresh(): 20
generatorChanged(ArgoGeneratorEvent): 6
generatorAdded(ArgoGeneratorEvent): 6
generatorRemoved(ArgoGeneratorEvent): 6
org.argouml.uml.diagram.ui.FigOperationsCompartment: 239
FigOperationsCompartment: 98
FigOperationsCompartment(int, int, int, int): 5
FigOperationsCompartment(Object, Rectangle, DiagramSettings): 8
getUmlCollection(): 12
getNotationType(): 2
createFigText(Object, Rectangle, DiagramSettings, NotationProvider): 21
createFigText(Object, Rectangle, DiagramSettings): 15
createModelElement(): 34
org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel: 234
UMLModelElementNamespaceComboBoxModel: 122
UMLModelElementNamespaceComboBoxModel(): 17
isValidElement(Object): 18
buildMinimalModelList(): 14
buildModelList(): 43
getSelectedModelElement(): 12
modelChanged(UmlChangeEvent): 14
isLazy(): 0
org.argouml.swingext.UpArrowIcon: 22
UpArrowIcon: 0
paintIcon(Component, Graphics, int, int): 4
getIconWidth(): 0
getIconHeight(): 0
org.argouml.model.UseCasesHelper: 12
UseCasesHelper: 0
getAllUseCases(Object): 0
getAllActors(Object): 0
getExtendedUseCases(Object): 0
getExtends(Object, Object): 0
getIncludedUseCases(Object): 0
getIncludes(Object, Object): 0
getSpecificationPath(Object): 0
setBase(Object, Object): 0
removeExtend(Object, Object): 0
removeExtensionPoint(Object, Object): 0
removeInclude(Object, Object): 0
addExtend(Object, Object): 0
addExtensionPoint(Object, Object): 0
addExtensionPoint(Object, int, Object): 0
addInclude(Object, Object): 0
setAddition(Object, Object): 0
setCondition(Object, Object): 0
setExtension(Object, Object): 0
setExtensionPoints(Object, Collection): 0
setIncludes(Object, Collection): 0
setLocation(Object, String): 0
setUseCase(Object, Object): 0
org.argouml.uml.diagram.static_structure.ui.PropPanelUMLClassDiagram: 66
PropPanelUMLClassDiagram: 9
PropPanelUMLClassDiagram(): 6
org.argouml.uml.ui.UMLCheckBox2: 159
UMLCheckBox2: 69
UMLCheckBox2(String, Action, String): 8
propertyChange(PropertyChangeEvent): 2
getTarget(): 0
setTarget(Object): 41
buildModel(): 0
targetAdded(TargetEvent): 9
targetRemoved(TargetEvent): 9
targetSet(TargetEvent): 9
