Assoc#0: 2928
Assoc#1: 221
Assoc#2: 16
Assoc#3: 16
Assoc#4: 46
Assoc#5: 79
Assoc#6: 13
Assoc#7: 5
Assoc#8: 5
Assoc#9: 5
Assoc#10: 1538
Assoc#11: 78
Assoc#12: 2
Assoc#13: 13
Assoc#14: 7
Assoc#15: 3
Assoc#16: 320
Assoc#17: 52
Assoc#18: 243
Assoc#19: 67
Assoc#20: 10
Assoc#21: 2
Assoc#22: 23
Assoc#23: 40
Assoc#24: 188
Assoc#25: 9
Assoc#26: 578
Assoc#27: 759
Assoc#28: 600
Assoc#29: 29
Assoc#30: 1030
Assoc#31: 627
Assoc#32: 29
Assoc#33: 435
Assoc#34: 3
Assoc#35: 6
Assoc#36: 6
Assoc#37: 2
Assoc#38: 2
Assoc#39: 704
Assoc#40: 43
Assoc#41: 201
Assoc#42: 17
Assoc#43: 649
Assoc#44: 372
Assoc#45: 57
Assoc#46: 2
Assoc#47: 9
Assoc#48: 4
Assoc#49: 4
Assoc#50: 2
Assoc#51: 60
Assoc#52: 7
Assoc#53: 2
Assoc#54: 201
Assoc#55: 4
Assoc#56: 10
Assoc#57: 10
Assoc#58: 94
Assoc#59: 16
Assoc#60: 12
Assoc#61: 168
Assoc#62: 212
Assoc#63: 124
Assoc#64: 469
Assoc#65: 280
Assoc#66: 138
Assoc#67: 33
Assoc#68: 46
Assoc#69: 15
Assoc#70: 4
Assoc#71: 264
Assoc#72: 11
Assoc#73: 3
Assoc#74: 4
Assoc#75: 119
Assoc#76: 42
Assoc#77: 40
Assoc#78: 34
Assoc#79: 43
Assoc#80: 43
Assoc#81: 43
Assoc#82: 45
Assoc#83: 50
Assoc#84: 55
Assoc#85: 53
Assoc#86: 61
Assoc#87: 49
Assoc#88: 259
Assoc#89: 156
Assoc#90: 105
Assoc#91: 14
Assoc#92: 42
Assoc#93: 9
Assoc#94: 38
Assoc#95: 2
Assoc#96: 3
Assoc#97: 40
Assoc#98: 31
Assoc#99: 38
Assoc#100: 13
Assoc#101: 4
Assoc#102: 6
Assoc#103: 6
Assoc#104: 3
Assoc#105: 2
Assoc#106: 29
Assoc#107: 2
Assoc#108: 2
Assoc#109: 2
Assoc#110: 2
Assoc#111: 2
Assoc#112: 183
Assoc#113: 30
Assoc#114: 30
Assoc#115: 18
Assoc#116: 90
Assoc#117: 17
Assoc#118: 4
Assoc#119: 17
Assoc#120: 17
Assoc#121: 17
Assoc#122: 20
Assoc#123: 1
Assoc#124: 1
Assoc#125: 1
Assoc#126: 1
Assoc#127: 1
Assoc#128: 1
Assoc#129: 1
Assoc#130: 1
Assoc#131: 1
Assoc#132: 1
Assoc#133: 1
Assoc#134: 1
Assoc#135: 3
Assoc#136: 3
Assoc#137: 1
Assoc#138: 5
Assoc#139: 37
Assoc#140: 55
Assoc#141: 2
Assoc#142: 74
Assoc#143: 16
Assoc#144: 55
Assoc#145: 176
Assoc#146: 45
Assoc#147: 4
Assoc#148: 101
Assoc#149: 35
Assoc#150: 176
Assoc#151: 8
Assoc#152: 241
Assoc#153: 12
Assoc#154: 1
Assoc#155: 319
Assoc#156: 101
Assoc#157: 5
Assoc#158: 15
Assoc#159: 12
Assoc#160: 3
Assoc#161: 9
Assoc#162: 22
Assoc#163: 53
Assoc#164: 31
Assoc#165: 4
Assoc#166: 33
Assoc#167: 1
Assoc#168: 31
Assoc#169: 19
Assoc#170: 12
Assoc#171: 12
Assoc#172: 12
Assoc#173: 8
Assoc#174: 8
Assoc#175: 51
Assoc#176: 604
Assoc#177: 27
Assoc#178: 20
Assoc#179: 5
Assoc#180: 5
Assoc#181: 9
Assoc#182: 1
Assoc#183: 13
Assoc#184: 43
Assoc#185: 351
Assoc#186: 4
Assoc#187: 1
Assoc#188: 4
Assoc#189: 21
Assoc#190: 12
Assoc#191: 102
Assoc#192: 25
Assoc#193: 60
Assoc#194: 178
Assoc#195: 17
Assoc#196: 221
Assoc#197: 58
Assoc#198: 56
Assoc#199: 2
Assoc#200: 15
Assoc#201: 3
Assoc#202: 52
Assoc#203: 187
Assoc#204: 2
Assoc#205: 2
Assoc#206: 60
Assoc#207: 646
Assoc#208: 48
Assoc#209: 32
Assoc#210: 4
Assoc#211: 2
Assoc#212: 2
Assoc#213: 14
Assoc#214: 6
Assoc#215: 15
Assoc#216: 42
Assoc#217: 11
Assoc#218: 19
Assoc#219: 1
Assoc#220: 4
Assoc#221: 1
Assoc#222: 76
Assoc#223: 14
Assoc#224: 2
Assoc#225: 108
Assoc#226: 16
Assoc#227: 3
Assoc#228: 3
Assoc#229: 2
Assoc#230: 2
Assoc#231: 7
Assoc#232: 2
Assoc#233: 30
Assoc#234: 2
Assoc#235: 2
Assoc#236: 7
Assoc#237: 6
Assoc#238: 2
Assoc#239: 4
Assoc#240: 21
Assoc#241: 11
Assoc#242: 4
Assoc#243: 55
Assoc#244: 26
Assoc#245: 2
Assoc#246: 6
Assoc#247: 2
Assoc#248: 2
Assoc#249: 2
Assoc#250: 2
Assoc#251: 6
Assoc#252: 7
Assoc#253: 22
Assoc#254: 14
Assoc#255: 6
Assoc#256: 64
Assoc#257: 5
Assoc#258: 16
Assoc#259: 40
Assoc#260: 46
Assoc#261: 29
Assoc#262: 7
Assoc#263: 18
Assoc#264: 17
Assoc#265: 10
Assoc#266: 8
Assoc#267: 18
Assoc#268: 213
Assoc#269: 40
Assoc#270: 47
Assoc#271: 18
Assoc#272: 4
Assoc#273: 52
Assoc#274: 1
Assoc#275: 6
Assoc#276: 8
Assoc#277: 4
Assoc#278: 5
Assoc#279: 15
Assoc#280: 5
Assoc#281: 5
Assoc#282: 5
Assoc#283: 8
Assoc#284: 9
Assoc#285: 1
Assoc#286: 70
Assoc#287: 15
Assoc#288: 18
Assoc#289: 1
Assoc#290: 3
Assoc#291: 155
Assoc#292: 2
Assoc#293: 3
Assoc#294: 9
Assoc#295: 2
Assoc#296: 34
Assoc#297: 36
Assoc#298: 77
Assoc#299: 4
Assoc#300: 1
Assoc#301: 1
Assoc#302: 9
Assoc#303: 14
Assoc#304: 21
Assoc#305: 1
Assoc#306: 4
Assoc#307: 1
Assoc#308: 1
Assoc#309: 20
Assoc#310: 38
Assoc#311: 3
Assoc#312: 3
Assoc#313: 1
Assoc#314: 533
Assoc#315: 8
Assoc#316: 12
